Provinsi,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ACEH,38924,28578,44921,45566,58679,65660,74449,36642,51232,60105,67386,77747,94426,96838,125155,112894,137753,167090,168861,167285,177842,202318,205125
SUMATERA UTARA,271298,311918,371578,398707,459715,509809,619667,666764,634162,640593,687360,712560,735456,682024,80485,1098969,1166548,1377718,1294645,1347124,1183011,1159795,1519407
SUMATERA BARAT,27969,36083,48115,53387,47001,65701,60161,56386,48820,67241,85410,118170,157147,202298,223233,351843,404795,354262,471849,495497,547417,605352,602549
RIAU,21699,33274,21455,38853,35253,41433,56317,48493,39915,38588,31635,42122,36421,34728,4041,47959,56521,41862,33197,31433,28052,28651,30870
JAMBI,10206,11337,14213,17895,17764,30320,30533,24875,23975,26722,27077,27540,29679,29288,30028,34616,38169,30691,25521,25571,25690,43617,51712
SUMATERA SELATAN,48036,36299,82707,85141,108450,105309,116020,94528,68769,53436,59261,65234,75566,73896,84081,101439,113167,125796,125688,112917,167457,191974,289007
BENGKULU,36449,32303,52232,53940,61081,64062,55178,46638,41557,52190,52723,50012,84089,82296,83385,111826,93798,74331,87362,103771,93988,72756,52785
LAMPUNG,579141,563069,843177,938395,1080691,1111832,1176489,1122954,1122886,989323,1087751,1216974,1439000,1183982,1346821,1809886,2067710,2126571,1817906,1760275,1760278,1719386,1502800
KEP. BANGKA BELITUNG,-,-,-,-,-,-,-,-,1112,931,2053,3199,2762,2956,2736,1193,1403,1055,850,967,783,721,666
KEP. RIAU,-,-,-,-,-,-,-,-,-,-,-,-,584,895,893,1125,1064,961,923,849,790,703,473
DKI JAKARTA,52,20,17,27,20,78,67,78,64,51,59,55,67,66,39,39,32,31,23,6,-,0,0
JAWA BARAT,274181,273919,332179,344242,336014,426430,418314,412020,361061,464264,443729,549442,587186,573263,577513,639822,787599,923962,945104,1028653,1101998,1047077,959933
JAWA TENGAH,1240472,1253931,1707516,1702890,1292325,1781846,1525281,1713805,1553920,1505706,1926243,1836233,2191258,1856023,2233992,2679914,3057845,3058710,2772575,3041630,2930911,3051516,3212391
DI YOGYAKARTA,78701,135356,150204,143394,165438,157382,147628,173536,187577,170753,204129,211730,248960,22362,258187,285372,314937,345576,291596,336608,289580,312236,299084
JAWA TIMUR,2363252,2636015,2820868,3417489,3048041,3765141,3150869,3487735,3529968,3692146,4181550,4133762,4398502,4011182,4252182,5053107,5266720,5587318,5443705,6295301,5760959,5737382,6131163
BANTEN,-,-,-,-,-,-,-,-,30396,19216,24875,25102,29751,24417,20723,20169,27083,28557,13863,9819,12038,10514,11870
BALI,105759,85286,90800,91704,107395,113921,96342,95206,79692,98584,89819,68424,81884,78105,69209,77619,92998,66355,64606,61873,57573,40613,40603
NUSA TENGGARA BARAT,51650,51647,52197,65472,70702,77412,71005,66216,50777,57785,64228,71276,96458,103963,120612,196263,308863,249005,456915,642674,633773,785864,959973
NUSA TENGGARA TIMUR,366347,398797,416362,551855,557457,483793,493535,527230,553298,580900,583355,622811,552440,582964,51436,673112,638899,653620,524638,629386,707642,647108,685081
KALIMANTAN BARAT,24355,19080,25922,37307,40984,32614,37848,31631,35500,46813,84581,102555,127458,136777,154118,181407,166833,168273,160819,170123,159973,135461,103742
KALIMANTAN TENGAH,2831,5475,6951,10127,7042,9049,11645,9239,7830,7730,9226,969,2400,7367,3971,5982,8048,9345,9208,7947,6217,8138,8189
KALIMANTAN SELATAN,18690,18755,17645,28372,26334,32064,34905,37011,38279,29012,30158,45686,48103,58283,100957,95064,113885,116449,99779,112066,107043,117986,128505
KALIMANTAN TIMUR,12070,12169,14062,10819,9480,11733,13577,13827,10378,12181,10997,12412,11180,1441,1162,12795,12520,11993,7341,9940,4864,7567,8379
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,973,1235,1032
SULAWESI UTARA,124053,135693,164431,176775,140473,153878,208538,224599,150459,116897,144668,150128,195305,242714,406759,466041,450989,446144,438504,440308,448002,488362,300490
SULAWESI TENGAH,14647,13716,25925,37453,26986,43815,59980,53323,49095,48498,49177,53450,67618,66433,119324,136907,164282,162306,161810,141649,139266,170203,131123
SULAWESI SELATAN,533577,559093,738935,842332,872070,916585,652223,633020,515405,661005,650832,674716,705995,696084,969955,1195691,1395742,1343044,1420154,1515329,1250202,1490991,1528414
SULAWESI TENGGARA,81769,73513,79858,83744,75882,97308,77152,87141,60385,68148,87650,78147,73153,74672,97037,93064,71655,74840,67997,78447,67578,60600,68141
GORONTALO,-,-,-,-,-,-,-,-,81720,130251,183998,251214,400046,416222,572785,753598,569110,679167,605782,644754,669094,719780,643512
SULAWESI BARAT,-,-,-,-,-,-,-,-,-,-,-,-,17343,18109,26633,40252,58320,58020,82995,122554,128327,110665,100811
MALUKU,25069,22616,12966,16670,17101,8404,10870,7092,10351,7096,7895,12477,14262,14888,15685,18924,15859,15273,13875,18281,11940,10568,13947
MALUKU UTARA,-,-,-,-,-,-,-,-,-,-,3778,5056,9914,10727,10793,11493,18229,20546,26149,25543,29421,19555,11728
PAPUA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,3317,313,2428,1711,1585,1931,2125,2049,2137,2450,2264
PAPUA,4017,4204,7627,8251,9269,4978,5443,6910,8609,7940,4839,6040,6164,6843,7053,7155,6787,6834,6885,6393,7034,7282,6666
