Provinsi,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ACEH,5288,7091,4271,3986,1785,4242,3728,6132,4855,3373,3395,1777,1341,1164,1507,1453,955,1233,1600
SUMATERA UTARA,12568,11984,10516,10482,9111,9518,11455,10800,8098,6536,4855,5493,4426,3345,3250,3817,2344,2907,3060
SUMATERA BARAT,1454,1321,1617,1692,1468,1597,1531,1338,1594,1380,1345,1434,1346,1134,1121,1073,753,559,419
RIAU,1191,1604,1458,1701,1305,1582,1945,1170,1950,2311,1739,1688,1014,1228,995,920,619,645,598
JAMBI,665,1114,859,801,1032,1093,595,614,670,600,566,535,465,462,445,381,262,168,129
SUMATERA SELATAN,2564,2874,3140,2366,2222,2160,2651,2643,3135,3396,3351,4172,3188,3280,2611,2480,1821,1182,974
BENGKULU,2250,2096,1238,1444,1691,1416,1722,1696,1711,1482,1757,1226,1153,1392,1405,1476,1371,1154,662
LAMPUNG,5462,7876,4485,5556,6352,5170,5325,4987,5000,4455,4477,4003,3863,3524,3644,3212,2643,2352,1445
KEP. BANGKA BELITUNG,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,0,0
KEP. RIAU,-,-,-,-,-,-,-,-,4,2,2,-,-,-,-,-,-,0,0
DKI JAKARTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
JAWA BARAT,13857,17569,15593,14853,12732,12602,10519,13950,15611,13228,12061,12187,16195,14624,14221,10198,11002,12749,9691
JAWA TENGAH,51206,59062,66936,76571,81814,81193,91553,2602,85192,96347,97163,90480,104352,77803,116518,111495,64277,96219,98992
DI YOGYAKARTA,243,415,354,341,293,462,563,617,651,563,571,514,473,610,371,300,318,261,230
JAWA TIMUR,73451,80052,77894,81321,86747,77021,95709,83245,95527,77166,80241,72126,83629,79878,80329,66778,57686,60310,67821
BANTEN,-,-,-,-,2292,2669,2767,81496,2086,1949,2343,1908,1911,1359,927,851,672,907,542
BALI,2073,2902,2395,1932,1438,1224,1026,1299,1093,1260,873,895,1134,754,884,1528,1186,941,516
NUSA TENGGARA BARAT,18513,21943,14479,17736,24039,24065,35406,39730,35429,40968,40970,39756,33774,50012,50702,34152,22079,18218,27074
NUSA TENGGARA TIMUR,14505,19580,16768,13900,16441,19120,20135,19896,16696,19353,20802,23392,20447,13462,10407,11478,10139,9121,9717
KALIMANTAN BARAT,313,581,583,649,959,1310,997,1336,966,1290,979,463,1309,1310,1687,862,553,923,1102
KALIMANTAN TENGAH,247,328,367,544,540,395,408,601,290,296,348,205,145,170,103,173,105,59,44
KALIMANTAN SELATAN,1382,1683,1345,1142,1531,1542,1486,1415,1751,1166,1548,1529,1598,1337,774,843,757,817,655
KALIMANTAN TIMUR,1313,1087,1083,1035,894,1078,984,1058,834,928,999,1136,1212,932,761,556,373,367,176
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,116,113
SULAWESI UTARA,4857,1272,3881,2685,1709,1233,1004,1268,1463,2078,2153,2381,2680,2184,1825,2045,1541,1498,969
SULAWESI TENGAH,1293,1719,1158,894,1075,1334,1444,27063,1381,1281,1115,873,1014,1031,1312,1373,839,721,628
SULAWESI SELATAN,40885,56030,31574,45700,39562,32549,38608,27063,28941,28554,32811,23995,23299,26458,41093,22623,18341,27620,40787
SULAWESI TENGGARA,904,973,981,901,1190,1406,1463,1675,1602,1475,1832,1640,1131,900,1527,1076,1083,1192,1036
GORONTALO,-,-,-,-,249,249,745,865,726,621,515,411,287,281,219,198,182,131,138
SULAWESI BARAT,-,-,-,-,-,-,-,-,730,907,1073,1293,1093,839,714,930,615,366,360
MALUKU,323,432,353,345,449,398,227,373,446,563,601,638,740,888,692,674,889,797,662
MALUKU UTARA,-,-,-,-,-,-,201,345,376,387,404,383,331,299,272,275,324,546,739
PAPUA BARAT,-,-,-,-,-,-,-,-,872,928,671,557,291,245,264,196,187,176,116
PAPUA,1574,1545,1798,1299,2099,1461,1027,888,1283,1291,927,969,645,800,762,841,682,334,468
