Provinsi,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ACEH,19056,23380,32517,22639,20288,9513,11124,9179,5047,7377,16887,14687,15597,11091,7972,6322,5926,7063,6172,6934,3861,3080,2527
SUMATERA UTARA,24801,28134,32115,30330,31188,26037,21986,23901,22485,23296,25097,28708,21042,20118,20329,19316,16771,16449,11093,12074,11351,9777,8517
SUMATERA BARAT,6894,9523,9842,10702,10021,8804,9005,8583,8712,8757,7821,9949,10501,10116,9671,10260,9207,9162,11908,9597,9093,7410,5964
RIAU,3799,4556,4354,3820,3144,4366,4089,3882,3180,4142,3363,3349,3526,3387,3225,2240,2020,2007,1692,1622,1243,1134,1036
JAMBI,3405,2658,4053,3403,2469,4742,3554,-,2614,1807,1993,2220,2315,2431,2501,2367,2184,1782,1680,1535,1513,1461,1176
SUMATERA SELATAN,18854,10322,17897,17435,12630,9424,13756,7731,6167,6218,7682,7187,9756,11696,7676,7499,6459,6109,3960,4060,3475,2720,2021
BENGKULU,8594,6861,8920,8740,9215,7824,6156,5628,5472,6035,6040,5814,6800,7038,5430,4585,3472,7253,6444,5802,4679,4612,3630
LAMPUNG,12123,10294,20470,16314,10061,13007,7467,9532,14022,9331,12032,11423,11634,11888,12756,13088,11090,17617,12911,10694,10676,9951,4963
KEP. BANGKA BELITUNG,-,-,-,-,-,-,-,-,333,286,312,702,395,525,568,422,387,358,339,325,357,224,144
KEP. RIAU,-,-,-,-,-,-,-,-,-,-,-,-,105,60,63,94,104,144,143,164,168,155,153
DKI JAKARTA,28,7,8,12,6,19,22,34,20,22,18,24,18,26,18,17,9,10,7,1,-,0,0
JAWA BARAT,97780,98286,117408,106128,100626,104141,98661,109368,86063,86468,90170,97724,100775,91817,91439,78512,89454,99058,73705,76574,91573,73808,80719
JAWA TENGAH,117692,112658,136847,133943,132751,145830,135522,160050,161182,150527,174332,184316,185797,179067,174438,171385,162430,161222,122306,143687,128030,120158,109204
DI YOGYAKARTA,30762,37118,35869,48866,48520,43357,47066,53918,50552,58482,57767,61048,60324,66359,56667,63240,65893,58918,64084,62901,70834,71582,83300
JAWA TIMUR,158958,139405,145104,161448,158626,152716,162885,180252,176889,188001,194676,212325,208749,218910,196886,202345,216474,207796,211416,213792,207971,188491,191579
BANTEN,-,-,-,-,-,-,-,-,13097,14136,12256,13752,17853,18535,18171,16319,19782,20381,12246,11691,12810,10700,11004
BALI,13936,14300,15490,15923,19052,20414,16416,15086,16394,16251,18452,19256,19742,18040,19077,16592,15583,11582,11212,11616,11024,8355,7065
NUSA TENGGARA BARAT,22153,24077,25709,26257,25376,23941,23690,27515,30595,32225,40489,49226,43397,43955,32913,32348,38615,33666,37965,38890,41889,34284,31142
NUSA TENGGARA TIMUR,6284,6180,8938,10164,10054,9797,11848,15009,11304,13615,13637,17680,14519,17831,21353,25678,22465,20069,23685,21563,16056,14886,10620
KALIMANTAN BARAT,1865,2219,2196,2235,2087,1586,1642,1923,1433,2385,1854,1992,2746,2397,1902,2012,2107,2125,1767,1663,1316,1249,945
KALIMANTAN TENGAH,1105,1001,1587,1238,1680,2048,2246,2979,1943,1574,1989,2409,1506,2050,1690,1417,1365,1032,772,771,634,529,523
KALIMANTAN SELATAN,12671,13595,20069,20426,19162,20943,17180,16981,16686,16884,16455,16440,16735,15759,18214,16476,15221,14445,12181,12377,11238,11835,9121
KALIMANTAN TIMUR,3330,2903,4169,3265,2761,2627,3556,2356,2400,2805,2352,2507,2268,2223,2425,2465,2547,2468,1817,1809,1451,1520,1127
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,249,257
SULAWESI UTARA,4690,7494,8004,11285,7608,6209,6617,8291,5982,3525,4683,5554,6267,7205,7562,8640,8493,8671,9049,8247,8805,7069,3971
SULAWESI TENGAH,4289,6547,6444,6351,5569,4013,7710,6110,3662,6152,5924,7307,9201,10421,10808,8758,10225,8424,10513,9473,7303,5853,4943
SULAWESI SELATAN,49036,53249,86258,62977,41256,53847,33647,48156,42156,42415,52763,41191,39092,41759,39740,36269,32331,41898,24808,27402,28408,34464,19024
SULAWESI TENGGARA,4645,5370,3927,4325,4697,6605,6897,8100,7667,8536,7883,7026,6995,6756,7628,6938,5089,4942,4540,5199,4942,4652,3471
GORONTALO,-,-,-,-,-,-,-,-,3627,2328,3189,5536,5378,2862,3336,1849,1655,2261,979,1126,1282,1227,756
SULAWESI BARAT,-,-,-,-,-,-,-,-,-,-,-,-,1035,541,777,744,1001,2022,1230,1001,590,502,329
MALUKU,5677,4250,4425,3037,3005,2251,3491,2197,2681,1117,1492,1876,2508,2902,3061,3077,3133,2950,2839,1941,1426,1222,801
MALUKU UTARA,-,-,-,-,-,-,-,-,-,-,1748,3263,4976,5750,6186,4951,3181,4235,5095,5745,4755,3136,2267
PAPUA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,2131,1936,1762,978,751,568,626,487,649,641,653
PAPUA,3304,2980,3717,3217,3191,3627,3353,7310,7405,3374,2170,3004,2612,2645,2845,2851,2464,2541,2105,2094,2044,1960,2497
