Provinsi,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ACEH,190220,182205,144935,100004,90517,92915,106480,71576,63127,21522,18697,31170,31067,25495,19025,43885,63538,53347,50006,51439,45027,63352,47910
SUMATERA UTARA,52786,56497,49655,35660,39303,44503,28817,12881,10719,10197,10466,12333,15793,7042,4345,11647,14206,9439,11426,5419,3229,5705,6549
SUMATERA BARAT,11947,12583,13408,13126,10094,8874,12686,7614,4936,2078,2122,1575,2000,1438,1131,1459,3175,1834,1925,1106,732,911,353
RIAU,11186,12019,6897,7730,7156,4827,3795,3100,2289,2307,1438,1825,2923,4205,2419,4689,5298,5830,7100,4182,2211,2332,2145
JAMBI,9127,6679,10548,13297,11213,11496,14966,4233,2359,3772,3992,2532,2863,3443,4316,5969,9132,5320,5668,3516,2372,6800,6732
SUMATERA SELATAN,14807,9837,26600,22043,18151,16070,20812,8771,5337,3788,4815,4664,5160,3788,2873,7305,13702,11664,13710,12162,5140,12550,16818
BENGKULU,13590,11723,12671,8122,8809,8411,4617,3059,1395,1919,2083,3053,2522,1341,1747,2316,5323,2719,3458,2316,3987,5715,5388
LAMPUNG,126204,110380,183566,92730,31914,43008,53848,22457,12391,6032,4360,5388,4699,3594,3396,6678,16153,7325,10984,7993,6156,13777,9815
KEP. BANGKA BELITUNG,-,-,-,-,-,-,-,-,4,1,3,-,-,-,-,8,1,52,1,1,-,3,1
KEP. RIAU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,6,7,15,18,18,15
DKI JAKARTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
JAWA BARAT,125559,94908,95670,81296,75239,70976,85988,55075,34603,29790,19822,29090,23845,24495,17438,32921,60257,55823,56166,47426,51172,115261,98938
JAWA TENGAH,227134,188903,251597,248946,207019,237156,233725,204064,151178,117068,142315,113852,167107,132261,123209,167345,175156,187992,112273,152416,99318,125467,129794
DI YOGYAKARTA,52546,59083,70494,78221,82347,64842,80756,68102,50202,50981,35562,35729,34670,39545,29692,34998,40278,38244,32795,36033,31677,19579,18822
JAWA TIMUR,549713,493632,487190,509096,511531,457272,485878,385212,349188,300184,287205,318929,335106,320205,252027,277281,355260,339491,366999,361986,329461,355464,344998
BANTEN,-,-,-,-,-,-,-,-,1996,4568,3245,4601,2497,1919,262,6452,15888,11662,5885,5780,10326,6384,7291
BALI,29701,30502,23321,28887,29443,23533,18799,14326,11852,10251,7834,11131,11225,10844,8417,9323,13521,5554,8503,8210,7433,8187,7259
NUSA TENGGARA BARAT,132752,130284,136773,135156,122345,124273,117471,70771,72111,59994,76333,91495,106682,10864,68419,95106,95846,93122,88099,74156,91065,97172,125036
NUSA TENGGARA TIMUR,3056,5493,4108,4296,4452,2917,5751,3018,1648,2984,4032,2368,2188,2786,1561,2295,2101,1780,1378,2781,1675,2710,3615
KALIMANTAN BARAT,2619,4084,6109,7115,5629,4065,5236,2342,1920,1823,1144,1231,1349,1728,802,1562,2046,3477,2027,1339,1677,3161,2637
KALIMANTAN TENGAH,2367,3533,4762,6824,2560,3328,7293,4606,3479,2036,1544,1162,792,682,784,1860,2136,2764,2823,1700,1684,1397,1262
KALIMANTAN SELATAN,7048,6787,10377,11481,8274,7189,12613,8598,6143,7120,6400,5423,2552,2138,206,3818,3838,3809,4376,3860,4072,8946,10537
KALIMANTAN TIMUR,3520,4871,4971,4409,4075,2412,6355,2313,2172,2068,2357,2157,2629,2783,2008,2578,2255,2204,2281,1364,1402,1128,1519
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,97,2239
SULAWESI UTARA,42361,26370,37643,34473,16177,6395,12381,7291,3572,1756,2320,5144,4112,4875,4578,7217,7667,7627,6319,2973,5780,7529,6685
SULAWESI TENGAH,10634,9876,5366,9077,5626,5123,5941,2390,2032,2015,1648,2085,2241,2651,2589,2927,4722,3555,6900,8202,12654,16399,13270
SULAWESI SELATAN,77146,90115,77245,47695,50111,49516,43949,42710,18605,19324,24140,26873,27187,22242,18972,29125,41279,35711,33716,29938,45693,54723,67192
SULAWESI TENGGARA,4762,6996,5882,6320,5052,5711,6341,3392,1198,2016,1738,2381,3069,2982,3375,3812,5615,3203,6113,3710,3595,5691,12799
GORONTALO,-,-,-,-,-,-,-,-,2173,1849,542,1283,4039,6734,5694,2514,5527,3403,2156,3451,4411,4273,3203
SULAWESI BARAT,-,-,-,-,-,-,-,-,-,-,-,-,641,1049,108,2054,3153,3195,2433,3222,1181,3998,4218
MALUKU,204,2558,2551,2319,2695,1740,2040,2415,2293,487,1484,1173,1423,1433,148,1563,1579,1183,297,348,254,578,707
MALUKU UTARA,-,-,-,-,-,-,-,-,-,-,552,676,1182,1164,1134,1278,652,944,1100,1303,1227,762,475
PAPUA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,2279,1887,1361,1740,1208,600,403,650,669,945,1439
PAPUA,6137,4261,6753,7614,6376,8398,6310,7318,8010,5126,3407,4160,4511,4222,3982,3983,3998,4152,3959,4156,4610,3983,3522
