Provinsi,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ACEH,27808,32918,32195,26784,31345,26401,33697,24594,16695,17285,23568,22938,22985,16238,15187,13172,15298,11095,11844,13356,11602,9696,8935
SUMATERA UTARA,146465,139462,117336,118348,111156,106618,134642,126961,118183,118170,135661,117295,115728,102712,117641,114186,140138,179388,191104,186583,116671,146622,122362
SUMATERA BARAT,23220,34355,33011,36003,33350,36172,37864,32875,30335,37558,44954,55484,50392,53758,53793,61817,77476,104302,98120,124881,134453,159865,160922
RIAU,13264,15620,13273,11296,12473,12540,10329,13577,11254,9178,11299,11390,10848,11123,12814,11330,9736,9967,9912,9424,8462,8038,6562
JAMBI,25475,26752,25866,18965,12462,22020,15990,14266,14725,16817,22000,27325,28370,29261,36363,21825,20614,21156,68735,80057,68187,78677,79393
SUMATERA SELATAN,58915,29636,34615,52099,47245,43252,36221,26537,14804,16878,20672,22573,24465,20747,21515,19621,20800,22839,18309,17380,15945,24454,16563
BENGKULU,89922,85143,84170,116900,125010,93054,70911,64313,58752,62689,54741,35368,45921,51184,32131,30682,20930,27840,26445,37271,31672,52251,38841
LAMPUNG,49067,38675,56824,65915,34843,59422,40559,43246,42207,39498,41082,45769,44602,42586,46772,48191,45041,44920,47239,47408,45141,42000,28494
KEP. BANGKA BELITUNG,-,-,-,-,-,-,-,-,4476,4878,4205,5179,4117,3820,5144,4653,4828,3751,3009,3303,2863,2992,2620
KEP. RIAU,-,-,-,-,-,-,-,-,-,-,-,-,1540,1463,1472,1490,1427,1790.12,1805,1916,1891,1804,1795
DKI JAKARTA,45,-,33,19,29,10,129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
JAWA BARAT,448799,417409,489291,407305,380080,443745,426723,386042,311742,389511,346987,389640,390386,389043,375714,376490,469646,430998,429378,436577,485065,471737,456176
JAWA TENGAH,219347,206592,210086,164285,157962,204260,152325,142275,131709,126890,139486,144076,144598,123485,143364,117159,147083,137723,157972,166978,183694,179393,151312
DI YOGYAKARTA,9561,8476,9658,8765,8192,8554,7717,7724,7906,7100,7578,6439,6522,6236,5496,7656,6687,6484,4584,5047,4951,5237,6070
JAWA TIMUR,233322,233163,239397,220383,211566,231179,207362,193571,189666,168776,167611,165039,150564,150540,149811,136556,162607,141103,217545,411957,393199,312421,350516
BANTEN,-,-,-,-,-,-,-,-,45917,42381,39669,38618,41276,34373,33694,33793,34549,40579,34589,32756,27972,28336,20150
BALI,110345,100366,81701,83167,86856,92815,65391,65150,53510,67990,64887,72534,88510,92078,91187,88201,78983,70318,69528,62352,60755,54395,36655
NUSA TENGGARA BARAT,46091,44694,43301,32176,17064,28309,14525,10060,17294,17553,20565,20886,19430,19372,13007,10985,11276,13134,11970,13232,11335,19015,19024
NUSA TENGGARA TIMUR,82659,85152,93315,82759,81145,66644,74360,156394,147056,133066,86692,126406,99748,111279,102375,107316,103635,121284,129728,151864,78944,60032,60746
KALIMANTAN BARAT,18948,16573,16085,16907,17260,18904,15162,16676,14609,14953,15622,13556,12364,14356,13882,12871,11735,14959,13774,15169,15296,15393,14863
KALIMANTAN TENGAH,6489,8255,6707,6932,9642,13674,13338,17552,18500,18682,10808,16594,9711,9645,8619,12153,10763,9583,8570,9525,9201,9048,9640
KALIMANTAN SELATAN,13309,13487,17762,17894,19784,16859,23219,18633,22606,24424,18666,21487,24106,26335,31143,25903,29968,25007,23918,19608,16534,23421,17913
KALIMANTAN TIMUR,22673,27907,29782,29512,23504,22550,22590,19688,21368,23011,27064,25962,22574,26334,30855,29372,31947,25156,21432,16367,12993,13004,10933
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3133,3056,2851
SULAWESI UTARA,25699,24259,23216,35961,34154,14066,15377,23434,17952,14958,25579,32392,38671,37345,35475,42062,53121,51838,46266,41227,39800,39429,25705
SULAWESI TENGAH,78479,26556,21402,16494,15754,18161,20524,18165,23807,28533,24980,27903,23768,26886,29079,27689,29821,26332,25111,26932,21550,20452,16650
SULAWESI SELATAN,74481,62006,89431,100407,77721,80722,72696,73357,80422,77698,61789,76496,53513,54303,58819,66546,68372,57513,66946,94474,70767,78275,71681
SULAWESI TENGGARA,21115,14288,12947,16401,13019,13794,20726,20942,19601,19532,22985,25695,24823,24432,27588,30892,25577,25304,26476,29411,24113,24914,25740
GORONTALO,-,-,-,-,-,-,-,-,5315,4293,3721,5384,3309,3557,2974,3947,3456,2926,2565,2002,2007,1904,1434
SULAWESI BARAT,-,-,-,-,-,-,-,-,-,-,-,-,9475,6194,9304,15895,15756,15666,20455,16589,11486,5880,8749
MALUKU,109129,42970,40135,28517,41341,31008,37924,30578,25031,12043,7793,15298,16701,20081,20929,21778,22338,20734,17913,19411,19602,22547,33639
MALUKU UTARA,-,-,-,-,-,-,-,-,-,-,28387,35533,34533,33673,35199,35094,30381,27666,31943,34661,37024,44651,30674
PAPUA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,19543,21375,18702,15340,10599,10557,10410,10647,14901,11826,13101
PAPUA,114464,92438,331242,287641,229538,218322,95246,281077,283628,257297,512427,298543,273876,290424,306804,337096,343325,349134,348438,345095,405520,411893,446925
