Provinsi,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ACEH,73122,70288,69571,59782,81427,66543,67670,65208,44387,52126,75286,63867,53424,46504,41558,38403,49839,43810,39384,38257,34738,31621,29131
SUMATERA UTARA,350446,454693,373350,421460,449026,488149,490601,480128,507519,441819,411990,464960,509796,452450,438573,736771,1007284,905571,1091711,1171520,1518221,1383346,1619495
SUMATERA BARAT,101471,96118,84796,100714,94681,92084,108111,94769,82207,100657,122689,117437,114199,133095,114551,102285,115492,193188,191946,213647,218830,217962,208386
RIAU,81593,77885,60015,63254,64151,71892,82437,69722,55822,56547,51487,47922,41668,47586,51784,50772,68046,75904,79480,88577,103070,117287,103599
JAMBI,235400,229934,204063,158547,82597,71648,73856,54594,54605,52516,52602,44446,39780,40779,44794,36905,39355,39564,40462,38978,33291,35550,43433
SUMATERA SELATAN,523529,401780,325499,403063,436904,516946,422739,326766,323675,271049,158042,248844,179952,228321,150133,197150,166890,159929,159346,143565,165250,220014,217807
BENGKULU,85987,74960,90774,105587,99854,124064,95420,92643,73566,81390,82945,59659,79934,113488,76924,49478,37311,43847,47735,57618,62193,78853,80309
LAMPUNG,2894298,2095109,2267741,2898667,1609661,1951590,3028605,2924418,3584225,3471136,4984616,4673091,4806254,5499403,6394906,7721882,7569178,8637594,9193676,8387351,8329201,8034016,7387084
KEP. BANGKA BELITUNG,-,-,-,-,-,-,-,-,18130,21089,21371,22138,19234,17264,18666,19722,23332,21427,13276,13469,14203,19759,35024
KEP. RIAU,-,-,-,-,-,-,-,-,-,-,-,-,3526,6899,7077,9364,9180,8397,7805,7666,8530,8979,9157
DKI JAKARTA,879,806,494,650,735,885,1211,1678,883,1062,949,815,791,804,628,454,305,290,176,47,-,0,0
JAWA BARAT,2310846,1850229,1700349,1816487,1648900,1650881,1920292,1815520,1569846,1800257,1651879,2074022,2068981,2044674,1922840,2034854,2086187,2014402,2058785,2131123,2138532,2250024,2000224
JAWA TENGAH,3391215,3231853,3292583,3344715,3181205,3123922,3279988,3091874,3234916,3097777,3469795,3663236,3478970,3553820,3410469,3325099,3676809,3876242,3501458,3848462,4089635,3977810,3571594
DI YOGYAKARTA,709060,586655,584860,695488,692120,648638,719123,701314,736316,750205,764409,817398,920909,1016270,976610,892907,1047684,1114665,867596,866357,1013565,884931,873362
JAWA TIMUR,3625712,3717398,3381948,3546260,3536124,3190949,3329430,3622445,4016330,3919854,3786882,3963478,4023614,3680567,3423630,3533772,3222637,3667058,4032081,4246028,3601074,3635454,3161573
BANTEN,-,-,-,-,-,-,-,-,179475,137975,155776,163969,144110,143561,117550,115591,105621,118979,107052,82796,97847,85943,74163
BALI,240045,173623,159851,211499,221410,209335,181518,159820,160011,125779,137891,142221,155808,159058,174189,169761,171456,163746,166291,147201,156953,131887,86070
NUSA TENGGARA BARAT,124464,108191,111553,130347,118968,113933,101633,99486,96974,87913,88568,88030,92991,87041,88527,68386,85062,70606,75367,79472,59085,92643,107254
NUSA TENGGARA TIMUR,698873,803043,830240,849606,922383,689373,822326,836056,778423,870157,861620,1041279,891783,938010,794121,928974,913053,1032538,962128,892145,811166,677577,637315
KALIMANTAN BARAT,202319,169234,154871,198369,183228,194507,136437,176100,167434,201741,233340,207832,243251,250173,221630,193804,166584,177807,141550,153564,168521,192967,173449
KALIMANTAN TENGAH,47253,51468,53932,56025,69023,81055,106548,106964,70924,104136,115017,112319,73866,65661,67617,73344,74670,76669,49475,46630,40762,43342,45712
KALIMANTAN SELATAN,103445,92426,107265,175995,135496,154423,155440,128615,113149,107241,71758,67292,80377,82389,117322,119085,121656,76202,86504,90043,87323,92272,71751
KALIMANTAN TIMUR,112406,107321,129582,115686,98935,88852,110619,91455,89815,115698,96067,89389,93885,101249,105395,116218,125714,110061,91858,82786,55519,60941,53966
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32935,41947,38936
SULAWESI UTARA,64412,66679,50375,92908,53778,45556,29967,50354,26526,32130,39944,57314,68463,82416,74406,83656,77206,84084,70147,63187,55207,46553,44123
SULAWESI TENGAH,97497,116973,70178,58922,56921,62636,57478,43805,49785,69494,50052,45106,48256,52791,70858,70181,82294,74128,83139,93642,100950,84688,47295
SULAWESI SELATAN,635735,557746,604751,681256,625824,540739,511656,492323,460921,543443,590717,586350,464435,567749,514277,504198,434862,601437,370125,682995,433399,478486,565958
SULAWESI TENGGARA,220739,172266,177828,169299,183813,169272,207696,203222,152817,181851,210742,263972,256467,238039,239271,217727,226927,163350,164850,175719,180680,175086,175095
GORONTALO,-,-,-,-,-,-,-,-,12195,9755,9436,14507,12211,9410,7432,9215,7117,6171,5910,3776,4537,3987,2653
SULAWESI BARAT,-,-,-,-,-,-,-,-,-,-,-,-,56717,40413,45921,54809,47781,46368,47670,48265,52972,29902,24984
MALUKU,245134,320449,441754,554909,404885,272224,368020,312081,335572,161167,83716,91351,94995,103260,105761,107214,124442,144407,125763,119545,97813,97959,134661
MALUKU UTARA,-,-,-,-,-,-,-,-,-,-,103297,144313,142680,123833,118354,116838,106443,109033,115940,116515,119799,147917,120283
PAPUA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,25897,21838,17834,23072,12228,25113,20440,9747,12219,11169,11181
PAPUA,39595,27787,37614,39179,40593,44015,49723,47660,58200,47140,40927,48150,33959,37825,34450,35100,36500,35531,34899,36679,38901,45512,46388
