,0,1,2,3
0,644642,643266,642120,661179
1,643266,642120,661179,647198
2,642120,661179,647198,621605
3,661179,647198,621605,612393
4,647198,621605,612393,654289
5,621605,612393,654289,661802
6,612393,654289,661802,653577
7,654289,661802,653577,652280
8,661802,653577,652280,692998
9,653577,652280,692998,670703
10,652280,692998,670703,708163
11,692998,670703,708163,709294
12,670703,708163,709294,798232
13,708163,709294,798232,837930
14,709294,798232,837930,823887
15,798232,837930,823887,842934
16,837930,823887,842934,946224
17,823887,842934,946224,921824
18,842934,946224,921824,919573
19,946224,921824,919573,945136
